name,National №,Type,Species,Height,Weight,Abilities,Local №
Ekans,023, Poison,Snake Pokémon,2.0 m (6′07″),6.9 kg (15.2 lbs), Intimidate Shed Skin Unnerve, Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve
Arbok,024, Poison,Cobra Pokémon,3.5 m (11′06″),65.0 kg (143.3 lbs), Intimidate Shed Skin Unnerve, Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve
Pikachu,025, Electric,Mouse Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs), Static Lightning Rod, Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod
Raichu,026, Electric,Mouse Pokémon,0.8 m (2′07″),30.0 kg (66.1 lbs), Static Lightning Rod, Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod
Sandshrew,027, Ground,Mouse Pokémon,0.6 m (2′00″),12.0 kg (26.5 lbs), Sand Veil Sand Rush, Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush
Sandslash,028, Ground,Mouse Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs), Sand Veil Sand Rush, Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush Sand Rush
Nidoran♀,029, Poison,Poison Pin Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs), Poison Point Rivalry Hustle, Hustle Hustle Hustle Hustle Hustle Hustle
Nidorina,030, Poison,Poison Pin Pokémon,0.8 m (2′07″),20.0 kg (44.1 lbs), Poison Point Rivalry Hustle, Hustle Hustle Hustle Hustle Hustle Hustle
Nidoqueen,031, Poison Ground,Drill Pokémon,1.3 m (4′03″),60.0 kg (132.3 lbs), Poison Point Rivalry Sheer Force, Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force
Nidoran♂,032, Poison,Poison Pin Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs), Poison Point Rivalry Hustle, Hustle Hustle Hustle Hustle Hustle Hustle
Nidorino,033, Poison,Poison Pin Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs), Poison Point Rivalry Hustle, Hustle Hustle Hustle Hustle Hustle Hustle
Nidoking,034, Poison Ground,Drill Pokémon,1.4 m (4′07″),62.0 kg (136.7 lbs), Poison Point Rivalry Sheer Force, Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force
Clefairy,035, Fairy,Fairy Pokémon,0.6 m (2′00″),7.5 kg (16.5 lbs), Cute Charm Magic Guard Friend Guard, Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard
Clefable,036, Fairy,Fairy Pokémon,1.3 m (4′03″),40.0 kg (88.2 lbs), Cute Charm Magic Guard Unaware, Unaware Unaware Unaware Unaware Unaware Unaware Unaware Unaware Unaware Unaware Unaware
Vulpix,037, Fire,Fox Pokémon,0.6 m (2′00″),9.9 kg (21.8 lbs), Flash Fire Drought, Drought Drought Drought Drought Drought Drought Drought Drought Drought Drought Drought
Ninetales,038, Fire,Fox Pokémon,1.1 m (3′07″),19.9 kg (43.9 lbs), Flash Fire Drought, Drought Drought Drought Drought Drought Drought Drought Drought Drought Drought Drought
Jigglypuff,039, Normal Fairy,Balloon Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs), Cute Charm Competitive Friend Guard, Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard Friend Guard
Wigglytuff,040, Normal Fairy,Balloon Pokémon,1.0 m (3′03″),12.0 kg (26.5 lbs), Cute Charm Competitive Frisk, Frisk Frisk Frisk Frisk Frisk Frisk Frisk Frisk Frisk Frisk Frisk
Zubat,041, Poison Flying,Bat Pokémon,0.8 m (2′07″),7.5 kg (16.5 lbs), Inner Focus Infiltrator, Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator
Golbat,042, Poison Flying,Bat Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs), Inner Focus Infiltrator, Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator Infiltrator
Oddish,043, Grass Poison,Weed Pokémon,0.5 m (1′08″),5.4 kg (11.9 lbs), Chlorophyll Run Away, Run Away Run Away Run Away Run Away Run Away Run Away Run Away Run Away Run Away
Gloom,044, Grass Poison,Weed Pokémon,0.8 m (2′07″),8.6 kg (19.0 lbs), Chlorophyll Stench, Stench Stench Stench Stench Stench Stench Stench Stench Stench
Vileplume,045, Grass Poison,Flower Pokémon,1.2 m (3′11″),18.6 kg (41.0 lbs), Chlorophyll Effect Spore, Effect Spore Effect Spore Effect Spore Effect Spore Effect Spore Effect Spore Effect Spore Effect Spore Effect Spore
Paras,046, Bug Grass,Mushroom Pokémon,0.3 m (1′00″),5.4 kg (11.9 lbs), Effect Spore Dry Skin Damp, Damp Damp Damp Damp Damp Damp Damp
Parasect,047, Bug Grass,Mushroom Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs), Effect Spore Dry Skin Damp, Damp Damp Damp Damp Damp Damp Damp
Venonat,048, Bug Poison,Insect Pokémon,1.0 m (3′03″),30.0 kg (66.1 lbs), Compound Eyes Tinted Lens Run Away, Run Away Run Away Run Away Run Away Run Away
Venomoth,049, Bug Poison,Poison Moth Pokémon,1.5 m (4′11″),12.5 kg (27.6 lbs), Shield Dust Tinted Lens Wonder Skin, Wonder Skin Wonder Skin Wonder Skin Wonder Skin Wonder Skin
Diglett,050, Ground,Mole Pokémon,0.2 m (0′08″),0.8 kg (1.8 lbs), Sand Veil Arena Trap Sand Force, Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force
Dugtrio,051, Ground,Mole Pokémon,0.7 m (2′04″),33.3 kg (73.4 lbs), Sand Veil Arena Trap Sand Force, Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force
Meowth,052, Normal,Scratch Cat Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs), Pickup Technician Unnerve, Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve
Persian,053, Normal,Classy Cat Pokémon,1.0 m (3′03″),32.0 kg (70.5 lbs), Limber Technician Unnerve, Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve Unnerve
Psyduck,054, Water,Duck Pokémon,0.8 m (2′07″),19.6 kg (43.2 lbs), Damp Cloud Nine Swift Swim, Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim
Golduck,055, Water,Duck Pokémon,1.7 m (5′07″),76.6 kg (168.9 lbs), Damp Cloud Nine Swift Swim, Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim
Mankey,056, Fighting,Pig Monkey Pokémon,0.5 m (1′08″),28.0 kg (61.7 lbs), Vital Spirit Anger Point Defiant, Defiant Defiant Defiant Defiant Defiant Defiant Defiant
Primeape,057, Fighting,Pig Monkey Pokémon,1.0 m (3′03″),32.0 kg (70.5 lbs), Vital Spirit Anger Point Defiant, Defiant Defiant Defiant Defiant Defiant Defiant Defiant
Growlithe,058, Fire,Puppy Pokémon,0.7 m (2′04″),19.0 kg (41.9 lbs), Intimidate Flash Fire Justified, Justified Justified Justified Justified Justified Justified Justified Justified Justified
Arcanine,059, Fire,Legendary Pokémon,1.9 m (6′03″),155.0 kg (341.7 lbs), Intimidate Flash Fire Justified, Justified Justified Justified Justified Justified Justified Justified Justified Justified
Poliwag,060, Water,Tadpole Pokémon,0.6 m (2′00″),12.4 kg (27.3 lbs), Water Absorb Damp Swift Swim, Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim
Poliwhirl,061, Water,Tadpole Pokémon,1.0 m (3′03″),20.0 kg (44.1 lbs), Water Absorb Damp Swift Swim, Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim
Poliwrath,062, Water Fighting,Tadpole Pokémon,1.3 m (4′03″),54.0 kg (119.0 lbs), Water Absorb Damp Swift Swim, Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim Swift Swim
Abra,063, Psychic,Psi Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs), Synchronize Inner Focus Magic Guard, Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard
Kadabra,064, Psychic,Psi Pokémon,1.3 m (4′03″),56.5 kg (124.6 lbs), Synchronize Inner Focus Magic Guard, Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard
Alakazam,065, Psychic,Psi Pokémon,1.5 m (4′11″),48.0 kg (105.8 lbs), Synchronize Inner Focus Magic Guard, Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard Magic Guard
Machop,066, Fighting,Superpower Pokémon,0.8 m (2′07″),19.5 kg (43.0 lbs), Guts No Guard Steadfast, Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast
Machoke,067, Fighting,Superpower Pokémon,1.5 m (4′11″),70.5 kg (155.4 lbs), Guts No Guard Steadfast, Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast
Machamp,068, Fighting,Superpower Pokémon,1.6 m (5′03″),130.0 kg (286.6 lbs), Guts No Guard Steadfast, Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast
Bellsprout,069, Grass Poison,Flower Pokémon,0.7 m (2′04″),4.0 kg (8.8 lbs), Chlorophyll Gluttony, Gluttony Gluttony Gluttony Gluttony Gluttony Gluttony
Weepinbell,070, Grass Poison,Flycatcher Pokémon,1.0 m (3′03″),6.4 kg (14.1 lbs), Chlorophyll Gluttony, Gluttony Gluttony Gluttony Gluttony Gluttony Gluttony
Victreebel,071, Grass Poison,Flycatcher Pokémon,1.7 m (5′07″),15.5 kg (34.2 lbs), Chlorophyll Gluttony, Gluttony Gluttony Gluttony Gluttony Gluttony Gluttony
Tentacool,072, Water Poison,Jellyfish Pokémon,0.9 m (2′11″),45.5 kg (100.3 lbs), Clear Body Liquid Ooze Rain Dish, Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish
Tentacruel,073, Water Poison,Jellyfish Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs), Clear Body Liquid Ooze Rain Dish, Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish Rain Dish
Geodude,074, Rock Ground,Rock Pokémon,0.4 m (1′04″),20.0 kg (44.1 lbs), Rock Head Sturdy Sand Veil, Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil
Graveler,075, Rock Ground,Rock Pokémon,1.0 m (3′03″),105.0 kg (231.5 lbs), Rock Head Sturdy Sand Veil, Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil
Golem,076, Rock Ground,Megaton Pokémon,1.4 m (4′07″),300.0 kg (661.4 lbs), Rock Head Sturdy Sand Veil, Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil Sand Veil
Ponyta,077, Fire,Fire Horse Pokémon,1.0 m (3′03″),30.0 kg (66.1 lbs), Run Away Flash Fire Flame Body, Flame Body Flame Body Flame Body Flame Body Flame Body Flame Body Flame Body Flame Body
Rapidash,078, Fire,Fire Horse Pokémon,1.7 m (5′07″),95.0 kg (209.4 lbs), Run Away Flash Fire Flame Body, Flame Body Flame Body Flame Body Flame Body Flame Body Flame Body Flame Body Flame Body
Slowpoke,079, Water Psychic,Dopey Pokémon,1.2 m (3′11″),36.0 kg (79.4 lbs), Oblivious Own Tempo Regenerator, Regenerator Regenerator Regenerator Regenerator Regenerator Regenerator Regenerator Regenerator
Slowbro,080, Water Psychic,Hermit Crab Pokémon,1.6 m (5′03″),78.5 kg (173.1 lbs), Oblivious Own Tempo Regenerator, Regenerator Regenerator Regenerator Regenerator Regenerator Regenerator Regenerator Regenerator
Magnemite,081, Electric Steel,Magnet Pokémon,0.3 m (1′00″),6.0 kg (13.2 lbs), Magnet Pull Sturdy Analytic, Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic
Magneton,082, Electric Steel,Magnet Pokémon,1.0 m (3′03″),60.0 kg (132.3 lbs), Magnet Pull Sturdy Analytic, Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic
Farfetch'd,083, Normal Flying,Wild Duck Pokémon,0.8 m (2′07″),15.0 kg (33.1 lbs), Keen Eye Inner Focus Defiant, Defiant Defiant Defiant Defiant Defiant Defiant Defiant
Doduo,084, Normal Flying,Twin Bird Pokémon,1.4 m (4′07″),39.2 kg (86.4 lbs), Run Away Early Bird Tangled Feet, Tangled Feet Tangled Feet Tangled Feet Tangled Feet Tangled Feet Tangled Feet Tangled Feet Tangled Feet
Dodrio,085, Normal Flying,Triple Bird Pokémon,1.8 m (5′11″),85.2 kg (187.8 lbs), Run Away Early Bird Tangled Feet, Tangled Feet Tangled Feet Tangled Feet Tangled Feet Tangled Feet Tangled Feet Tangled Feet Tangled Feet
Seel,086, Water,Sea Lion Pokémon,1.1 m (3′07″),90.0 kg (198.4 lbs), Thick Fat Hydration Ice Body, Ice Body Ice Body Ice Body Ice Body Ice Body Ice Body Ice Body
Dewgong,087, Water Ice,Sea Lion Pokémon,1.7 m (5′07″),120.0 kg (264.6 lbs), Thick Fat Hydration Ice Body, Ice Body Ice Body Ice Body Ice Body Ice Body Ice Body Ice Body
Grimer,088, Poison,Sludge Pokémon,0.9 m (2′11″),30.0 kg (66.1 lbs), Stench Sticky Hold Poison Touch, Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch
Muk,089, Poison,Sludge Pokémon,1.2 m (3′11″),30.0 kg (66.1 lbs), Stench Sticky Hold Poison Touch, Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch
Shellder,090, Water,Bivalve Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs), Shell Armor Skill Link Overcoat, Overcoat Overcoat Overcoat Overcoat Overcoat Overcoat Overcoat Overcoat Overcoat
Cloyster,091, Water Ice,Bivalve Pokémon,1.5 m (4′11″),132.5 kg (292.1 lbs), Shell Armor Skill Link Overcoat, Overcoat Overcoat Overcoat Overcoat Overcoat Overcoat Overcoat Overcoat Overcoat
Gastly,092, Ghost Poison,Gas Pokémon,1.3 m (4′03″),0.1 kg (0.2 lbs), Levitate, Levitate Levitate Levitate Levitate Levitate Levitate Levitate Levitate Levitate Levitate Levitate
Haunter,093, Ghost Poison,Gas Pokémon,1.6 m (5′03″),0.1 kg (0.2 lbs), Levitate, Levitate Levitate Levitate Levitate Levitate Levitate Levitate Levitate Levitate Levitate Levitate
Gengar,094, Ghost Poison,Shadow Pokémon,1.5 m (4′11″),40.5 kg (89.3 lbs), Cursed Body, Cursed Body Cursed Body Cursed Body Cursed Body Cursed Body Cursed Body Cursed Body Cursed Body Cursed Body Cursed Body Cursed Body
Onix,095, Rock Ground,Rock Snake Pokémon,8.8 m (28′10″),210.0 kg (463.0 lbs), Rock Head Sturdy Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor
Drowzee,096, Psychic,Hypnosis Pokémon,1.0 m (3′03″),32.4 kg (71.4 lbs), Insomnia Forewarn Inner Focus, Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus
Hypno,097, Psychic,Hypnosis Pokémon,1.6 m (5′03″),75.6 kg (166.7 lbs), Insomnia Forewarn Inner Focus, Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus
Krabby,098, Water,River Crab Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs), Hyper Cutter Shell Armor Sheer Force, Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force
Kingler,099, Water,Pincer Pokémon,1.3 m (4′03″),60.0 kg (132.3 lbs), Hyper Cutter Shell Armor Sheer Force, Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force Sheer Force
Voltorb,100, Electric,Ball Pokémon,0.5 m (1′08″),10.4 kg (22.9 lbs), Soundproof Static Aftermath, Aftermath Aftermath Aftermath Aftermath Aftermath Aftermath Aftermath Aftermath
Electrode,101, Electric,Ball Pokémon,1.2 m (3′11″),66.6 kg (146.8 lbs), Soundproof Static Aftermath, Aftermath Aftermath Aftermath Aftermath Aftermath Aftermath Aftermath Aftermath
Exeggcute,102, Grass Psychic,Egg Pokémon,0.4 m (1′04″),2.5 kg (5.5 lbs), Chlorophyll Harvest, Harvest Harvest Harvest Harvest Harvest Harvest Harvest Harvest
Exeggutor,103, Grass Psychic,Coconut Pokémon,2.0 m (6′07″),120.0 kg (264.6 lbs), Chlorophyll Harvest, Harvest Harvest Harvest Harvest Harvest Harvest Harvest Harvest
Cubone,104, Ground,Lonely Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs), Rock Head Lightning Rod Battle Armor, Battle Armor Battle Armor Battle Armor Battle Armor Battle Armor Battle Armor Battle Armor Battle Armor
Marowak,105, Ground,Bone Keeper Pokémon,1.0 m (3′03″),45.0 kg (99.2 lbs), Rock Head Lightning Rod Battle Armor, Battle Armor Battle Armor Battle Armor Battle Armor Battle Armor Battle Armor Battle Armor Battle Armor
Hitmonlee,106, Fighting,Kicking Pokémon,1.5 m (4′11″),49.8 kg (109.8 lbs), Limber Reckless Unburden, Unburden Unburden Unburden Unburden Unburden Unburden
Hitmonchan,107, Fighting,Punching Pokémon,1.4 m (4′07″),50.2 kg (110.7 lbs), Keen Eye Iron Fist Inner Focus, Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus
Lickitung,108, Normal,Licking Pokémon,1.2 m (3′11″),65.5 kg (144.4 lbs), Own Tempo Oblivious Cloud Nine, Cloud Nine Cloud Nine Cloud Nine Cloud Nine Cloud Nine Cloud Nine Cloud Nine Cloud Nine Cloud Nine
Koffing,109, Poison,Poison Gas Pokémon,0.6 m (2′00″),1.0 kg (2.2 lbs), Levitate Neutralizing Gas Stench, Stench Stench Stench Stench Stench Stench Stench Stench Stench
Weezing,110, Poison,Poison Gas Pokémon,1.2 m (3′11″),9.5 kg (20.9 lbs), Levitate Neutralizing Gas Stench, Stench Stench Stench Stench Stench Stench Stench Stench Stench
Rhyhorn,111, Ground Rock,Spikes Pokémon,1.0 m (3′03″),115.0 kg (253.5 lbs), Lightning Rod Rock Head Reckless, Reckless Reckless Reckless Reckless Reckless Reckless Reckless Reckless Reckless Reckless
Rhydon,112, Ground Rock,Drill Pokémon,1.9 m (6′03″),120.0 kg (264.6 lbs), Lightning Rod Rock Head Reckless, Reckless Reckless Reckless Reckless Reckless Reckless Reckless Reckless Reckless Reckless
Chansey,113, Normal,Egg Pokémon,1.1 m (3′07″),34.6 kg (76.3 lbs), Natural Cure Serene Grace Healer, Healer Healer Healer Healer Healer Healer Healer Healer Healer
Tangela,114, Grass,Vine Pokémon,1.0 m (3′03″),35.0 kg (77.2 lbs), Chlorophyll Leaf Guard Regenerator, Regenerator Regenerator Regenerator Regenerator Regenerator Regenerator Regenerator
Kangaskhan,115, Normal,Parent Pokémon,2.2 m (7′03″),80.0 kg (176.4 lbs), Early Bird Scrappy Inner Focus, Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus Inner Focus
Horsea,116, Water,Dragon Pokémon,0.4 m (1′04″),8.0 kg (17.6 lbs), Swift Swim Sniper Damp, Damp Damp Damp Damp Damp Damp Damp Damp
Seadra,117, Water,Dragon Pokémon,1.2 m (3′11″),25.0 kg (55.1 lbs), Poison Point Sniper Damp, Damp Damp Damp Damp Damp Damp Damp Damp
Goldeen,118, Water,Goldfish Pokémon,0.6 m (2′00″),15.0 kg (33.1 lbs), Swift Swim Water Veil Lightning Rod, Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod
Seaking,119, Water,Goldfish Pokémon,1.3 m (4′03″),39.0 kg (86.0 lbs), Swift Swim Water Veil Lightning Rod, Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod Lightning Rod
Staryu,120, Water,Star Shape Pokémon,0.8 m (2′07″),34.5 kg (76.1 lbs), Illuminate Natural Cure Analytic, Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic
Starmie,121, Water Psychic,Mysterious Pokémon,1.1 m (3′07″),80.0 kg (176.4 lbs), Illuminate Natural Cure Analytic, Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic Analytic
Mr. Mime,122, Psychic Fairy,Barrier Pokémon,1.3 m (4′03″),54.5 kg (120.2 lbs), Soundproof Filter Technician, Technician Technician Technician Technician Technician Technician Technician Technician Technician Technician
Scyther,123, Bug Flying,Mantis Pokémon,1.5 m (4′11″),56.0 kg (123.5 lbs), Swarm Technician Steadfast, Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast Steadfast
Jynx,124, Ice Psychic,Human Shape Pokémon,1.4 m (4′07″),40.6 kg (89.5 lbs), Oblivious Forewarn Dry Skin, Dry Skin Dry Skin Dry Skin Dry Skin Dry Skin Dry Skin Dry Skin
Electabuzz,125, Electric,Electric Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs), Static Vital Spirit, Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit
Magmar,126, Fire,Spitfire Pokémon,1.3 m (4′03″),44.5 kg (98.1 lbs), Flame Body Vital Spirit, Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit Vital Spirit
