name,Egg Groups,Gender,Egg cycles
Fearow, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Ekans, Dragon Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Arbok, Dragon Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Pikachu, Fairy Field, 50% male 50% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Raichu, Fairy Field, 50% male 50% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Sandshrew, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Sandslash, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Nidoran♀, Field Monster, 0% male 100% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Nidorina, Undiscovered, 0% male 100% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Nidoqueen, Undiscovered, 0% male 100% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Nidoran♂, Field Monster, 100% male 0% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Nidorino, Field Monster, 100% male 0% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Nidoking, Field Monster, 100% male 0% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Clefairy, Fairy, 25% male 75% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Clefable, Fairy, 25% male 75% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Vulpix, Field, 25% male 75% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Ninetales, Field, 25% male 75% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Jigglypuff, Fairy, 25% male 75% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Wigglytuff, Fairy, 25% male 75% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Zubat, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Golbat, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Oddish, Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Gloom, Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Vileplume, Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Paras, Bug Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Parasect, Bug Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Venonat, Bug, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Venomoth, Bug, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Diglett, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Dugtrio, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Meowth, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Persian, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Psyduck, Field Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Golduck, Field Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Mankey, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Primeape, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Growlithe, Field, 75% male 25% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Arcanine, Field, 75% male 25% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Poliwag, Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Poliwhirl, Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Poliwrath, Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Abra, Human-Like, 75% male 25% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Kadabra, Human-Like, 75% male 25% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Alakazam, Human-Like, 75% male 25% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Machop, Human-Like, 75% male 25% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Machoke, Human-Like, 75% male 25% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Machamp, Human-Like, 75% male 25% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Bellsprout, Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Weepinbell, Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Victreebel, Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Tentacool, Water 3, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Tentacruel, Water 3, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Geodude, Mineral, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Graveler, Mineral, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Golem, Mineral, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Ponyta, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Rapidash, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Slowpoke, Monster Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Slowbro, Monster Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Magnemite, Mineral,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Magneton, Mineral,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Farfetch'd, Field Flying, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Doduo, Flying, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Dodrio, Flying, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Seel, Field Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Dewgong, Field Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Grimer, Amorphous, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Muk, Amorphous, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Shellder, Water 3, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Cloyster, Water 3, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Gastly, Amorphous, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Haunter, Amorphous, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Gengar, Amorphous, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Onix, Mineral, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Drowzee, Human-Like, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Hypno, Human-Like, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Krabby, Water 3, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Kingler, Water 3, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Voltorb, Mineral,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Electrode, Mineral,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Exeggcute, Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Exeggutor, Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Cubone, Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Marowak, Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Hitmonlee, Human-Like, 100% male 0% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Hitmonchan, Human-Like, 100% male 0% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Lickitung, Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Koffing, Amorphous, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Weezing, Amorphous, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Rhyhorn, Field Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Rhydon, Field Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Chansey, Fairy, 0% male 100% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Tangela, Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Kangaskhan, Monster, 0% male 100% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Horsea, Dragon Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Seadra, Dragon Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Goldeen, Water 2, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Seaking, Water 2, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Staryu, Water 3,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Starmie, Water 3,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Mr. Mime, Human-Like, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Scyther, Bug, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Jynx, Human-Like, 0% male 100% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Electabuzz, Human-Like, 75% male 25% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Magmar, Human-Like, 75% male 25% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Pinsir, Bug, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Tauros, Field, 100% male 0% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Magikarp, Dragon Water 2, 50% male 50% female,"5 (1,029–1,285 steps)
 (1,029–1,285 steps)"
Gyarados, Dragon Water 2, 50% male 50% female,"5 (1,029–1,285 steps)
 (1,029–1,285 steps)"
Lapras, Monster Water 1, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Ditto, Ditto,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Eevee, Field, 87.5% male 12.5% female,"35 (8,739–8,995 steps)
 (8,739–8,995 steps)"
Vaporeon, Field, 87.5% male 12.5% female,"35 (8,739–8,995 steps)
 (8,739–8,995 steps)"
Jolteon, Field, 87.5% male 12.5% female,"35 (8,739–8,995 steps)
 (8,739–8,995 steps)"
Flareon, Field, 87.5% male 12.5% female,"35 (8,739–8,995 steps)
 (8,739–8,995 steps)"
Porygon, Mineral,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Omanyte, Water 1 Water 3, 87.5% male 12.5% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Omastar, Water 1 Water 3, 87.5% male 12.5% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Kabuto, Water 1 Water 3, 87.5% male 12.5% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Kabutops, Water 1 Water 3, 87.5% male 12.5% female,"30 (7,454–7,710 steps)
 (7,454–7,710 steps)"
Aerodactyl, Flying, 87.5% male 12.5% female,"35 (8,739–8,995 steps)
 (8,739–8,995 steps)"
Snorlax, Monster, 87.5% male 12.5% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Articuno, Undiscovered,,"80 (20,304–20,560 steps)
 (20,304–20,560 steps)"
Zapdos, Undiscovered,,"80 (20,304–20,560 steps)
 (20,304–20,560 steps)"
Moltres, Undiscovered,,"80 (20,304–20,560 steps)
 (20,304–20,560 steps)"
Dratini, Dragon Water 1, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Dragonair, Dragon Water 1, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Dragonite, Dragon Water 1, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Mewtwo, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Mew, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Chikorita, Grass Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Bayleef, Grass Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Meganium, Grass Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Cyndaquil, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Quilava, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Typhlosion, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Totodile, Monster Water 1, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Croconaw, Monster Water 1, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Feraligatr, Monster Water 1, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Sentret, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Furret, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Hoothoot, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Noctowl, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Ledyba, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Ledian, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Spinarak, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Ariados, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Crobat, Flying, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Chinchou, Water 2, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Lanturn, Water 2, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Pichu, Undiscovered, 50% male 50% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Cleffa, Undiscovered, 25% male 75% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Igglybuff, Undiscovered, 25% male 75% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Togepi, Undiscovered, 87.5% male 12.5% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Togetic, Fairy Flying, 87.5% male 12.5% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Natu, Flying, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Xatu, Flying, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Mareep, Field Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Flaaffy, Field Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Ampharos, Field Monster, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Bellossom, Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Marill, Fairy Water 1, 50% male 50% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Azumarill, Fairy Water 1, 50% male 50% female,"10 (2,314–2,570 steps)
 (2,314–2,570 steps)"
Sudowoodo, Mineral, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Politoed, Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Hoppip, Fairy Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Skiploom, Fairy Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Jumpluff, Fairy Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Aipom, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Sunkern, Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Sunflora, Grass, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Yanma, Bug, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Wooper, Field Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Quagsire, Field Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Espeon, Field, 87.5% male 12.5% female,"35 (8,739–8,995 steps)
 (8,739–8,995 steps)"
Umbreon, Field, 87.5% male 12.5% female,"35 (8,739–8,995 steps)
 (8,739–8,995 steps)"
Murkrow, Flying, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Slowking, Monster Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Misdreavus, Amorphous, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Unown, Undiscovered,,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Wobbuffet, Amorphous, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Girafarig, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Pineco, Bug, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Forretress, Bug, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Dunsparce, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Gligar, Bug, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Steelix, Mineral, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Snubbull, Fairy Field, 25% male 75% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Granbull, Fairy Field, 25% male 75% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Qwilfish, Water 2, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Scizor, Bug, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Shuckle, Bug, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Heracross, Bug, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Sneasel, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Teddiursa, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Ursaring, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Slugma, Amorphous, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Magcargo, Amorphous, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Swinub, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Piloswine, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Corsola, Water 1 Water 3, 25% male 75% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Remoraid, Water 1 Water 2, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Octillery, Water 1 Water 2, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Delibird, Field Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Mantine, Water 1, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Skarmory, Flying, 50% male 50% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Houndour, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Houndoom, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Kingdra, Dragon Water 1, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Phanpy, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Donphan, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Porygon2, Mineral,,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Stantler, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Smeargle, Field, 50% male 50% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Tyrogue, Undiscovered, 100% male 0% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Hitmontop, Human-Like, 100% male 0% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Smoochum, Undiscovered, 0% male 100% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Elekid, Undiscovered, 75% male 25% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Magby, Undiscovered, 75% male 25% female,"25 (6,169–6,425 steps)
 (6,169–6,425 steps)"
Miltank, Field, 0% male 100% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Blissey, Fairy, 0% male 100% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Raikou, Undiscovered,,"80 (20,304–20,560 steps)
 (20,304–20,560 steps)"
Entei, Undiscovered,,"80 (20,304–20,560 steps)
 (20,304–20,560 steps)"
Suicune, Undiscovered,,"80 (20,304–20,560 steps)
 (20,304–20,560 steps)"
Larvitar, Monster, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Pupitar, Monster, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Tyranitar, Monster, 50% male 50% female,"40 (10,024–10,280 steps)
 (10,024–10,280 steps)"
Lugia, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Ho-oh, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Celebi, Undiscovered,,"120 (30,584–30,840 steps)
 (30,584–30,840 steps)"
Treecko, Dragon Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Grovyle, Dragon Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Sceptile, Dragon Monster, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Torchic, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Combusken, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Blaziken, Field, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Mudkip, Monster Water 1, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Marshtomp, Monster Water 1, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Swampert, Monster Water 1, 87.5% male 12.5% female,"20 (4,884–5,140 steps)
 (4,884–5,140 steps)"
Poochyena, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Mightyena, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Zigzagoon, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Linoone, Field, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Wurmple, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Silcoon, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Beautifly, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Cascoon, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Dustox, Bug, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Lotad, Grass Water 1, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Lombre, Grass Water 1, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Ludicolo, Grass Water 1, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
Seedot, Field Grass, 50% male 50% female,"15 (3,599–3,855 steps)
 (3,599–3,855 steps)"
