name,EV yield,Catch rate,Base Friendship,Base Exp.,Growth Rate
Machamp,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),227,Medium Slow
Bellsprout,"
1 Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),60,Medium Slow
Weepinbell,"
2 Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),137,Medium Slow
Victreebel,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),221,Medium Slow
Tentacool,"
1 Special Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),67,Slow
Tentacruel,"
2 Special Defense ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),180,Slow
Geodude,"
1 Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),60,Medium Slow
Graveler,"
2 Defense ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),137,Medium Slow
Golem,"
3 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),223,Medium Slow
Ponyta,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),82,Medium Fast
Rapidash,"
2 Speed ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),175,Medium Fast
Slowpoke,"
1 HP ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),63,Medium Fast
Slowbro,"
2 Defense ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),172,Medium Fast
Magnemite,"
1 Special Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),65,Medium Fast
Magneton,"
2 Special Attack ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),163,Medium Fast
Farfetch'd,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),132,Medium Fast
Doduo,"
1 Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),62,Medium Fast
Dodrio,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),165,Medium Fast
Seel,"
1 Special Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),65,Medium Fast
Dewgong,"
2 Special Defense ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),166,Medium Fast
Grimer,"
1 HP ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),65,Medium Fast
Muk,"
1 HP, 1 Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),175,Medium Fast
Shellder,"
1 Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),61,Slow
Cloyster,"
2 Defense ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),184,Slow
Gastly,"
1 Special Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),62,Medium Slow
Haunter,"
2 Special Attack ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Gengar,"
3 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),225,Medium Slow
Onix,"
1 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),77,Medium Fast
Drowzee,"
1 Special Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),66,Medium Fast
Hypno,"
2 Special Defense ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),169,Medium Fast
Krabby,"
1 Attack ","225 (29.4% with PokéBall, full HP) (29.4% with PokéBall, full HP)",70 (normal) (normal),65,Medium Fast
Kingler,"
2 Attack ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),166,Medium Fast
Voltorb,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),66,Medium Fast
Electrode,"
2 Speed ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),172,Medium Fast
Exeggcute,"
1 Defense ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),65,Slow
Exeggutor,"
2 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),186,Slow
Cubone,"
1 Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),64,Medium Fast
Marowak,"
2 Defense ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),149,Medium Fast
Hitmonlee,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),159,Medium Fast
Hitmonchan,"
2 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),159,Medium Fast
Lickitung,"
2 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),77,Medium Fast
Koffing,"
1 Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),68,Medium Fast
Weezing,"
2 Defense ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),172,Medium Fast
Rhyhorn,"
1 Defense ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),69,Slow
Rhydon,"
2 Attack ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),170,Slow
Chansey,"
2 HP ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",140 (higher than normal) (higher than normal),395,Fast
Tangela,"
1 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),87,Medium Fast
Kangaskhan,"
2 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),172,Medium Fast
Horsea,"
1 Special Attack ","225 (29.4% with PokéBall, full HP) (29.4% with PokéBall, full HP)",70 (normal) (normal),59,Medium Fast
Seadra,"
1 Defense, 1 Special Attack ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),154,Medium Fast
Goldeen,"
1 Attack ","225 (29.4% with PokéBall, full HP) (29.4% with PokéBall, full HP)",70 (normal) (normal),64,Medium Fast
Seaking,"
2 Attack ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),158,Medium Fast
Staryu,"
1 Speed ","225 (29.4% with PokéBall, full HP) (29.4% with PokéBall, full HP)",70 (normal) (normal),68,Slow
Starmie,"
2 Speed ","60 (7.8% with PokéBall, full HP) (7.8% with PokéBall, full HP)",70 (normal) (normal),182,Slow
Mr. Mime,"
2 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),161,Medium Fast
Scyther,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),100,Medium Fast
Jynx,"
2 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),159,Medium Fast
Electabuzz,"
2 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),172,Medium Fast
Magmar,"
2 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),173,Medium Fast
Pinsir,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),175,Slow
Tauros,"
1 Attack, 1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),172,Slow
Magikarp,"
1 Speed ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),40,Slow
Gyarados,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),189,Slow
Lapras,"
2 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),187,Slow
Ditto,"
1 HP ","35 (4.6% with PokéBall, full HP) (4.6% with PokéBall, full HP)",70 (normal) (normal),101,Medium Fast
Eevee,"
1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),65,Medium Fast
Vaporeon,"
2 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),184,Medium Fast
Jolteon,"
2 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),184,Medium Fast
Flareon,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),184,Medium Fast
Porygon,"
1 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),79,Medium Fast
Omanyte,"
1 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),71,Medium Fast
Omastar,"
2 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),173,Medium Fast
Kabuto,"
1 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),71,Medium Fast
Kabutops,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),173,Medium Fast
Aerodactyl,"
2 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),180,Slow
Snorlax,"
2 HP ","25 (3.3% with PokéBall, full HP) (3.3% with PokéBall, full HP)",70 (normal) (normal),189,Slow
Articuno,"
3 Special Defense ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),261,Slow
Zapdos,"
3 Special Attack ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),261,Slow
Moltres,"
3 Special Attack ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",35 (lower than normal) (lower than normal),261,Slow
Dratini,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),60,Slow
Dragonair,"
2 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),147,Slow
Dragonite,"
3 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),270,Slow
Mewtwo,"
3 Special Attack ","3 (0.4% with PokéBall, full HP) (0.4% with PokéBall, full HP)",0 (lower than normal) (lower than normal),306,Slow
Mew,"
3 HP ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",100 (higher than normal) (higher than normal),270,Medium Slow
Chikorita,"
1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),64,Medium Slow
Bayleef,"
1 Defense, 1 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Meganium,"
1 Defense, 2 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),236,Medium Slow
Cyndaquil,"
1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),62,Medium Slow
Quilava,"
1 Special Attack, 1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Typhlosion,"
3 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),240,Medium Slow
Totodile,"
1 Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),63,Medium Slow
Croconaw,"
1 Attack, 1 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),142,Medium Slow
Feraligatr,"
2 Attack, 1 Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),239,Medium Slow
Sentret,"
1 Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),43,Medium Fast
Furret,"
2 Speed ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),145,Medium Fast
Hoothoot,"
1 HP ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),52,Medium Fast
Noctowl,"
2 HP ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),158,Medium Fast
Ledyba,"
1 Special Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),53,Fast
Ledian,"
2 Special Defense ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),137,Fast
Spinarak,"
1 Attack ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),50,Fast
Ariados,"
2 Attack ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),140,Fast
Crobat,"
3 Speed ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),241,Medium Fast
Chinchou,"
1 HP ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),66,Slow
Lanturn,"
2 HP ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),161,Slow
Pichu,"
1 Speed ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),41,Medium Fast
Cleffa,"
1 Special Defense ","150 (19.6% with PokéBall, full HP) (19.6% with PokéBall, full HP)",140 (higher than normal) (higher than normal),44,Fast
Igglybuff,"
1 HP ","170 (22.2% with PokéBall, full HP) (22.2% with PokéBall, full HP)",70 (normal) (normal),42,Fast
Togepi,"
1 Special Defense ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),49,Fast
Togetic,"
2 Special Defense ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),142,Fast
Natu,"
1 Special Attack ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),64,Medium Fast
Xatu,"
1 Special Attack, 1 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),165,Medium Fast
Mareep,"
1 Special Attack ","235 (30.7% with PokéBall, full HP) (30.7% with PokéBall, full HP)",70 (normal) (normal),56,Medium Slow
Flaaffy,"
2 Special Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),128,Medium Slow
Ampharos,"
3 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),230,Medium Slow
Bellossom,"
3 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),221,Medium Slow
Marill,"
2 HP ","190 (24.8% with PokéBall, full HP) (24.8% with PokéBall, full HP)",70 (normal) (normal),88,Fast
Azumarill,"
3 HP ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),189,Fast
Sudowoodo,"
2 Defense ","65 (8.5% with PokéBall, full HP) (8.5% with PokéBall, full HP)",70 (normal) (normal),144,Medium Fast
Politoed,"
3 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),225,Medium Slow
Hoppip,"
1 Special Defense ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),50,Medium Slow
Skiploom,"
2 Speed ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),119,Medium Slow
Jumpluff,"
3 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),207,Medium Slow
Aipom,"
1 Speed ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),72,Fast
Sunkern,"
1 Special Attack ","235 (30.7% with PokéBall, full HP) (30.7% with PokéBall, full HP)",70 (normal) (normal),36,Medium Slow
Sunflora,"
2 Special Attack ","120 (15.7% with PokéBall, full HP) (15.7% with PokéBall, full HP)",70 (normal) (normal),149,Medium Slow
Yanma,"
1 Speed ","75 (9.8% with PokéBall, full HP) (9.8% with PokéBall, full HP)",70 (normal) (normal),78,Medium Fast
Wooper,"
1 HP ","255 (33.3% with PokéBall, full HP) (33.3% with PokéBall, full HP)",70 (normal) (normal),42,Medium Fast
Quagsire,"
2 HP ","90 (11.8% with PokéBall, full HP) (11.8% with PokéBall, full HP)",70 (normal) (normal),151,Medium Fast
Espeon,"
2 Special Attack ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",70 (normal) (normal),184,Medium Fast
Umbreon,"
2 Special Defense ","45 (5.9% with PokéBall, full HP) (5.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),184,Medium Fast
Murkrow,"
1 Speed ","30 (3.9% with PokéBall, full HP) (3.9% with PokéBall, full HP)",35 (lower than normal) (lower than normal),81,Medium Slow
Slowking,"
3 Special Defense ","70 (9.1% with PokéBall, full HP) (9.1% with PokéBall, full HP)",70 (normal) (normal),172,Medium Fast
